Model,Category,Year,Est. Value (AED),Term (mo),Down 10% (AED),LTO Monthly (AED),LTO Total (AED),LTO Margin/mo (AED),Flexi Monthly (AED),Flexi Buyout (AED),Flexi Margin/mo (AED),Cost Floor/mo (AED)
Mitsubishi Xpander,Family MPV,2024,80000,48,8000,3052,154496,1300,2877,8000,1125,1752
Toyota Veloz,Family MPV,2024,90000,12,9000,8710,113517,6504,4379,49500,2173,2206
Toyota Veloz,Family MPV,2024,90000,24,9000,5166,132984,2960,3591,36000,1385,2206
Toyota Veloz,Family MPV,2024,90000,36,9000,3985,152451,1779,3329,22500,1123,2206
Toyota Veloz,Family MPV,2024,90000,48,9000,3394,171918,1188,3197,9000,991,2206
Ford Territory,Family MPV,2025,95000,12,9500,9176,119614,6551,4604,52250,1979,2625
Ford Territory,Family MPV,2025,95000,24,9500,5436,139952,2811,3773,38000,1148,2625
Ford Territory,Family MPV,2025,95000,36,9500,4189,160291,1564,3496,23750,871,2625
Ford Territory,Family MPV,2025,95000,48,9500,3565,180629,940,3357,9500,732,2625
MG Whale,Family MPV,2024,90000,12,9000,8710,113517,6475,4379,49500,2144,2235
MG Whale,Family MPV,2024,90000,24,9000,5166,132984,2931,3591,36000,1356,2235
MG Whale,Family MPV,2024,90000,36,9000,3985,152451,1750,3329,22500,1094,2235
MG Whale,Family MPV,2024,90000,48,9000,3394,171918,1159,3197,9000,962,2235
Nissan Xterra,Family MPV,2025,110000,12,11000,10575,137903,7900,5282,60500,2607,2675
Nissan Xterra,Family MPV,2025,110000,24,11000,6244,160856,3569,4319,44000,1644,2675
Nissan Xterra,Family MPV,2025,110000,36,11000,4800,183809,2125,3998,27500,1323,2675
Nissan Xterra,Family MPV,2025,110000,48,11000,4078,206762,1403,3838,11000,1163,2675
Kia Sportage,Family MPV,2025,110000,12,11000,10575,137903,8427,5282,60500,3134,2148
Kia Sportage,Family MPV,2025,110000,24,11000,6244,160856,4096,4319,44000,2171,2148
Kia Sportage,Family MPV,2025,110000,36,11000,4800,183809,2652,3998,27500,1850,2148
Kia Sportage,Family MPV,2025,110000,48,11000,4078,206762,1930,3838,11000,1690,2148
Exeed LX,Family MPV,2025,115000,12,11500,11042,144000,8556,5507,63250,3021,2486
Exeed LX,Family MPV,2025,115000,24,11500,6514,167824,4028,4501,46000,2015,2486
Exeed LX,Family MPV,2025,115000,36,11500,5004,191649,2518,4166,28750,1680,2486
Exeed LX,Family MPV,2025,115000,48,11500,4249,215473,1763,3998,11500,1512,2486
Chevrolet Blazer,Family MPV,2021,95000,12,9500,9176,119614,6046,4604,52250,1474,3130
Chevrolet Blazer,Family MPV,2021,95000,24,9500,5436,139952,2306,3773,38000,643,3130
Chevrolet Blazer,Family MPV,2021,95000,36,9500,4189,160291,1059,3496,23750,366,3130
Chevrolet Blazer,Family MPV,2021,95000,48,9500,3565,180629,435,3357,9500,227,3130
Toyota Fortuner,Premium,2024,165000,12,16500,15705,204965,12114,7765,90750,4174,3591
Toyota Fortuner,Premium,2024,165000,24,16500,9209,237504,5618,6321,66000,2730,3591
Toyota Fortuner,Premium,2024,165000,36,16500,7043,270044,3452,5840,41250,2249,3591
Toyota Fortuner,Premium,2024,165000,48,16500,5960,302583,2369,5599,16500,2008,3591
Toyota Highlander VXR,Premium,2023,170000,12,17000,16172,211061,12673,7990,93500,4491,3499
Toyota Highlander VXR,Premium,2023,170000,24,17000,9478,244472,5979,6503,68000,3004,3499
Toyota Highlander VXR,Premium,2023,170000,36,17000,7247,277883,3748,6007,42500,2508,3499
Toyota Highlander VXR,Premium,2023,170000,48,17000,6131,311294,2632,5759,17000,2260,3499
Nissan Patrol,Premium,2023,280000,12,28000,26432,345184,19298,12957,154000,5823,7134
Nissan Patrol,Premium,2023,280000,24,28000,15407,397768,8273,10507,112000,3373,7134
Nissan Patrol,Premium,2023,280000,36,28000,11732,450352,4598,9690,70000,2556,7134
Nissan Patrol,Premium,2023,280000,48,28000,9895,502936,2761,9282,28000,2148,7134
Nissan Patrol LE Platinum City,Premium,2025,330000,12,33000,31096,406149,26657,15214,181500,10775,4439
Nissan Patrol LE Platinum City,Premium,2025,330000,24,33000,18102,467448,13663,12327,132000,7888,4439
Nissan Patrol LE Platinum City,Premium,2025,330000,36,33000,13771,528747,9332,11365,82500,6926,4439
Nissan Patrol LE Platinum City,Premium,2025,330000,48,33000,11605,590046,7166,10883,33000,6444,4439
Cadillac CT4,Premium,2021,130000,12,13000,12441,162289,9687,6185,71500,3431,2754
Cadillac CT4,Premium,2021,130000,24,13000,7322,188728,4568,5047,52000,2293,2754
Cadillac CT4,Premium,2021,130000,36,13000,5616,215167,2862,4668,32500,1914,2754
Cadillac CT4,Premium,2021,130000,48,13000,4763,241606,2009,4478,13000,1724,2754
Lexus ES 300H,Premium,2023,190000,12,19000,18037,235447,15096,8893,104500,5952,2941
Lexus ES 300H,Premium,2023,190000,24,19000,10556,272344,7615,7231,76000,4290,2941
Lexus ES 300H,Premium,2023,190000,36,19000,8062,309241,5121,6677,47500,3736,2941
Lexus ES 300H,Premium,2023,190000,48,19000,6815,346138,3874,6400,19000,3459,2941
Mercedes Vito 116 CDI,Premium,2023,150000,12,15000,14306,186675,11715,7088,82500,4497,2591
Mercedes Vito 116 CDI,Premium,2023,150000,24,15000,8400,216600,5809,5775,60000,3184,2591
Mercedes Vito 116 CDI,Premium,2023,150000,36,15000,6431,246525,3840,5338,37500,2747,2591
Mercedes Vito 116 CDI,Premium,2023,150000,48,15000,5447,276450,2856,5119,15000,2528,2591
MG RX9,Premium,2025,135000,12,13500,12907,168386,10548,6410,74250,4051,2359
MG RX9,Premium,2025,135000,24,13500,7592,195696,5233,5229,54000,2870,2359
MG RX9,Premium,2025,135000,36,13500,5820,223007,3461,4835,33750,2476,2359
MG RX9,Premium,2025,135000,48,13500,4934,250317,2575,4638,13500,2279,2359
Audi A3,Premium,2025,150000,12,15000,14306,186675,11088,7088,82500,3870,3218
Audi A3,Premium,2025,150000,24,15000,8400,216600,5182,5775,60000,2557,3218
Audi A3,Premium,2025,150000,36,15000,6431,246525,3213,5338,37500,2120,3218
Audi A3,Premium,2025,150000,48,15000,5447,276450,2229,5119,15000,1901,3218
